url;threatType;platformType;threatEntryType
kaktakto.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
updatenewsysforpcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
jalshamoviez.in;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
521mx.cn;MALWARE;ANY_PLATFORM;URL
sharemodest.com;MALWARE;ANY_PLATFORM;URL
nowcheckfree4systemmacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
livecheck247updatefreeforsystemspcandmacalike.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ifukua.com;MALWARE;ANY_PLATFORM;URL
fboation.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
copequizer.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
alwaysnewpreparedformacandpc.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
groanoftedium.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowinstallupgradefreeforsystemssetpcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ifile.ninja;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
fbuildi.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mxroom.com;MALWARE;ANY_PLATFORM;URL
newsandtechadvicesset4video.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
163disk.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
readygosysforpcandmac.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
colifestyle.com;MALWARE;ANY_PLATFORM;URL
theperfectserverforvideoandaudiopcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectserverforvideoandaudiopcandmac.club;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
soft-centresystemspcandmacalikes.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newalwaysfreeforsystemspcandmac.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ready4newsoftsysforpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
001bz.in;MALWARE;ANY_PLATFORM;URL
nowupgrade24freeforsystemsetpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeforallupdatesystems.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
homefei.net;MALWARE;ANY_PLATFORM;URL
newsandtechadvicesset4video.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
kan84.net;MALWARE;ANY_PLATFORM;URL
sports-night.eu;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
facelling.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
btago.com;MALWARE;ANY_PLATFORM;URL
thesafestmedia2update.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestmedia2update.win;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
sportstream.tv;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
getsoftnowfree4systemsmacandpc.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
gmaililo.com;MALWARE;ANY_PLATFORM;URL
go2ads.online;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
domaintheperfectsystemsfree4video2updatesall.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
howtoupdatefreeforsystemspcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
720mp4.com;MALWARE;ANY_PLATFORM;URL
newalwaysfreeforsystemspcandmac.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
stableworkingfreeforpcandmacalikes.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
howtoupdatefreeforsystemspcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
pirat.ca;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
learn2upgradefreeforpcandmacalike.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
soft-centresystemspcandmacalikes.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesetandperfectforyousystemfree4you.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thebiggerandstableupdates.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
freshupdatesysformacandpc.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
winbaicai.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
dy100.me;MALWARE;ANY_PLATFORM;URL
pdfzj.com;MALWARE;ANY_PLATFORM;URL
yourultimatefastsystemupdate.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yourultimatefastsystemupdate.club;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
2011mv.com;MALWARE;ANY_PLATFORM;URL
zuiben.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
811.net;MALWARE;ANY_PLATFORM;URL
naturalbd.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
webjalsha.in;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
fboar.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
setgopreparedformacandpc.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
myfbquizhere.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
setupdate24preparedforfreesystems.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
free2updatepreparedformacandpc.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
machineslot.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
7tll9.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
yh31.com;MALWARE;ANY_PLATFORM;URL
52laikan.com;MALWARE;ANY_PLATFORM;URL
bubulai.com;MALWARE;ANY_PLATFORM;URL
thesafest-content4downloads.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
